Name,Position,Goals,Assists,Shots,Shots on target,Shooting accuracy %,Big chances created,Big chances missed,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored
Salomón Rondón ,Forward,9,2,71.0,21.0,30%,2.0,7.0,4.0,3.0,1.0,0.0,0.0
Rony Lopes ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wayne Rooney ,Forward,8,6,72.0,25.0,35%,6.0,3.0,0.0,7.0,1.0,1.0,0.0
Alexis Sánchez ,Forward,13,4,107.0,38.0,36%,13.0,11.0,2.0,10.0,1.0,0.0,1.0
Yaya Sanogo ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Seager ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott Sinclair ,Forward,2,0,17.0,7.0,41%,1.0,2.0,0.0,2.0,0.0,1.0,0.0
Rubén Sobrino ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominic Solanke ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roberto Soldado ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Son Heung-Min ,Forward,4,1,38.0,13.0,34%,0.0,3.0,0.0,2.0,2.0,0.0,0.0
Raheem Sterling ,Forward,6,2,52.0,22.0,42%,2.0,6.0,1.0,5.0,0.0,0.0,0.0
Jayden Stockley ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Sturridge ,Forward,8,1,48.0,23.0,48%,0.0,5.0,3.0,1.0,4.0,0.0,0.0
Sam Surridge ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dusan Tadic ,Forward,7,12,56.0,16.0,29%,12.0,4.0,0.0,2.0,5.0,1.0,0.0
